Ano;Mês;Cidade;Unidade;Regional;Fonte Pagadora;Clientes;Doses;Faturamento;Pagamento;Unidade2
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-AMIL VACINAS;3;5; R$957,86 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-CARE PLUS VACINAS;1;2; R$570,85 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;48;59; R$23.031,50 ;E-COMMERCE;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-GRUPO WHATSAPP - VALDIRENE VACINAS PGTO;2;2; R$927,00 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-MAES E FILHAS DO GUARA VACINAS PGTO;1;1; R$225,00 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;1;1; R$361,20 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;11;16; R$3.680,00 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-VACINAS MEDICO PGTO;2;3; R$828,00 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;88;120; R$45.920,00 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS SHOPPING FELICITTÁ;VACINAS DF;BSB-VACINAS TABELA 80 MAIS PGTO;1;1; R$297,00 ;BALCÃO;SHOPPING FELICITTÁ
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-AMIL VACINAS;1;3; R$562,99 ;BALCÃO;GUARA II
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;39;53; R$20.932,00 ;E-COMMERCE;GUARA II
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-GRUPO WHATSAPP - VALDIRENE VACINAS PGTO;1;2; R$684,00 ;BALCÃO;GUARA II
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;13;22; R$7.140,00 ;BALCÃO;GUARA II
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;7;10; R$1.832,00 ;BALCÃO;GUARA II
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-VACINAS MEDICO PGTO;7;8; R$2.835,00 ;BALCÃO;GUARA II
2020;Jan;Brasília;VACINAS GUARA II;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;78;101; R$39.070,00 ;BALCÃO;GUARA II
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE - FAO/WFP/BFO - VACINAS;1;2; R$909,39 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-AMIL VACINAS;3;4; R$393,06 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-CARE PLUS VACINAS;1;1; R$280,03 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-CARLOS EDUARDO JANSEN MELO VACINAS PGTO;5;8; R$2.430,00 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;38;56; R$20.701,00 ;E-COMMERCE;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;2;4; R$1.485,00 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;2;3; R$924,00 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;1;1; R$159,00 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-VACINAS MEDICO PGTO;5;7; R$2.484,00 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS EDIFICIO DE CLINICAS;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;80;99; R$33.970,00 ;BALCÃO;EDIFICIO DE CLINICAS
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-AMIL VACINAS;2;5; R$661,58 ;BALCÃO;SUDOESTE JK
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;21;28; R$10.999,50 ;E-COMMERCE;SUDOESTE JK
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;1;2; R$875,50 ;BALCÃO;SUDOESTE JK
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;7;11; R$3.427,20 ;BALCÃO;SUDOESTE JK
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;11;19; R$5.349,00 ;BALCÃO;SUDOESTE JK
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-VACINAS MEDICO PGTO;10;19; R$4.995,00 ;BALCÃO;SUDOESTE JK
2020;Jan;Brasília;VACINAS SUDOESTE JK;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;58;84; R$28.930,00 ;BALCÃO;SUDOESTE JK
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE - FAO/WFP/BFO - VACINAS;1;3; R$800,94 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE VACINAS - PGTO;1;1; R$550,64 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-CARE PLUS VACINAS;2;4; R$1.518,04 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;43;63; R$22.858,00 ;E-COMMERCE;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;1;1; R$414,00 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;7;12; R$3.906,00 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;9;9; R$1.739,00 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-VACINAS MEDICO PGTO;13;19; R$6.291,00 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;124;153; R$51.810,00 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS CENTRO CLINICO SUL;VACINAS DF;BSB-VACINAS TABELA 80 MAIS PGTO;2;2; R$594,00 ;BALCÃO;CENTRO CLINICO SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-AMIL VACINAS;1;1; R$311,39 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-CARE PLUS VACINAS;2;3; R$796,48 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;57;67; R$25.089,00 ;E-COMMERCE;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;1;1; R$391,00 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;10;14; R$5.004,00 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;5;8; R$2.822,40 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;8;8; R$1.574,00 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-VACINAS MEDICO PGTO;1;3; R$873,00 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS TAGUATINGA SUL;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;117;157; R$61.980,00 ;BALCÃO;TAGUATINGA SUL
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-AMIL VACINAS;5;8; R$1.772,23 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-ANABB VACINAS PGTO NO ATO;2;2; R$424,00 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-CORTESIA DIRETORIA;1;1; R$-   ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;48;80; R$29.015,00 ;E-COMMERCE;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;1;3; R$824,50 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;2;4; R$1.134,00 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;16;30; R$6.675,00 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-VACINAS MEDICO PGTO;5;11; R$3.150,00 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;50;89; R$30.685,00 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS DOMICILIAR;VACINAS DF;BSB-VACINAS TABELA 80 MAIS PGTO;7;7; R$1.908,00 ;BALCÃO;DOMICILIAR
2020;Jan;Brasília;VACINAS SOBRADINHO CONDOMINIO;VACINAS DF;BSB-AMIL VACINAS;3;5; R$771,03 ;BALCÃO;SOBRADINHO CONDOMINIO
2020;Jan;Brasília;VACINAS SOBRADINHO CONDOMINIO;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;10;15; R$5.665,50 ;E-COMMERCE;SOBRADINHO CONDOMINIO
2020;Jan;Brasília;VACINAS SOBRADINHO CONDOMINIO;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;2;2; R$663,60 ;BALCÃO;SOBRADINHO CONDOMINIO
2020;Jan;Brasília;VACINAS SOBRADINHO CONDOMINIO;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;2;2; R$318,00 ;BALCÃO;SOBRADINHO CONDOMINIO
2020;Jan;Brasília;VACINAS SOBRADINHO CONDOMINIO;VACINAS DF;BSB-VACINAS MEDICO PGTO;2;3; R$1.305,00 ;BALCÃO;SOBRADINHO CONDOMINIO
2020;Jan;Brasília;VACINAS SOBRADINHO CONDOMINIO;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;20;22; R$9.470,00 ;BALCÃO;SOBRADINHO CONDOMINIO
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-AMIL VACINAS;1;1; R$83,48 ;BALCÃO;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;19;24; R$8.798,00 ;E-COMMERCE;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;1;1; R$195,50 ;BALCÃO;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;1;3; R$814,80 ;BALCÃO;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;3;3; R$477,00 ;BALCÃO;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-VACINAS MEDICO PGTO;2;2; R$414,00 ;BALCÃO;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS NUCLEO BANDEIRANTE;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;48;53; R$17.730,00 ;BALCÃO;NUCLEO BANDEIRANTE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-AMIL VACINAS;3;4; R$1.234,28 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-CARE PLUS VACINAS;4;8; R$2.451,50 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;49;68; R$25.864,00 ;E-COMMERCE;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-MAES E FILHAS DO GUARA VACINAS PGTO;1;1; R$342,00 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;7;10; R$2.808,00 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;9;14; R$4.905,60 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;3;4; R$660,00 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-VACINAS MEDICO PGTO;18;25; R$7.902,00 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS METROPOLE;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;156;192; R$75.020,00 ;BALCÃO;METROPOLE
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE - FAO/WFP/BFO - VACINAS;1;3; R$800,94 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-AMIL VACINAS;2;2; R$480,62 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-CARE PLUS VACINAS;1;3; R$765,98 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;37;52; R$18.346,00 ;E-COMMERCE;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;1;1; R$102,00 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;2;3; R$814,80 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-VACINAS MEDICO PGTO;4;6; R$2.214,00 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS L2 SUL;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;56;68; R$23.410,00 ;BALCÃO;L2 SUL
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-AMIL VACINAS;2;4; R$992,84 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-CARE PLUS VACINAS;1;1; R$447,47 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;33;47; R$17.681,50 ;E-COMMERCE;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;2;2; R$927,00 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;6;13; R$4.359,60 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;3;3; R$477,00 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-VACINAS MEDICO PGTO;4;5; R$2.052,00 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SUDOESTE 105;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;37;44; R$15.270,00 ;BALCÃO;SUDOESTE 105
2020;Jan;Brasília;VACINAS SHOPPING QUE GAMA;VACINAS DF;BSB-AMIL VACINAS;1;1; R$311,39 ;BALCÃO;SHOPPING QUE GAMA
2020;Jan;Brasília;VACINAS SHOPPING QUE GAMA;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;36;45; R$16.241,50 ;E-COMMERCE;SHOPPING QUE GAMA
2020;Jan;Brasília;VACINAS SHOPPING QUE GAMA;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;2;2; R$882,00 ;BALCÃO;SHOPPING QUE GAMA
2020;Jan;Brasília;VACINAS SHOPPING QUE GAMA;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;2;3; R$664,00 ;BALCÃO;SHOPPING QUE GAMA
2020;Jan;Brasília;VACINAS SHOPPING QUE GAMA;VACINAS DF;BSB-VACINAS MEDICO PGTO;1;2; R$927,00 ;BALCÃO;SHOPPING QUE GAMA
2020;Jan;Brasília;VACINAS SHOPPING QUE GAMA;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;79;91; R$33.740,00 ;BALCÃO;SHOPPING QUE GAMA
2020;Jan;Brasília;VACINAS 110 NORTE;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;5;8; R$3.040,00 ;BALCÃO;110 NORTE
2020;Jan;Cristalina;VACINAS CRISTALINA;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;2;3; R$1.198,50 ;BALCÃO;CRISTALINA
2020;Jan;Cristalina;VACINAS CRISTALINA;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;3;5; R$873,00 ;BALCÃO;CRISTALINA
2020;Jan;Cristalina;VACINAS CRISTALINA;VACINAS DF;BSB-VACINAS MEDICO PGTO;2;4; R$1.116,00 ;BALCÃO;CRISTALINA
2020;Jan;Cristalina;VACINAS CRISTALINA;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;36;45; R$16.500,00 ;BALCÃO;CRISTALINA
2020;Jan;Cristalina;VACINAS CRISTALINA;VACINAS DF;CRA-VACINAS ESCOLAS PGTO;1;1; R$72,00 ;BALCÃO;CRISTALINA
2020;Jan;Formosa;VACINAS FORMOSA VALERIANO;VACINAS DF;BSB-AMIL VACINAS;1;2; R$491,90 ;BALCÃO;FORMOSA VALERIANO
2020;Jan;Formosa;VACINAS FORMOSA VALERIANO;VACINAS DF;BSB-INTERLIFE VACINAS PGTO;4;8; R$2.405,50 ;BALCÃO;FORMOSA VALERIANO
2020;Jan;Formosa;VACINAS FORMOSA VALERIANO;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;4;4; R$852,00 ;BALCÃO;FORMOSA VALERIANO
2020;Jan;Formosa;VACINAS FORMOSA VALERIANO;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;85;118; R$44.860,00 ;BALCÃO;FORMOSA VALERIANO
2020;Jan;Salvador;VACINAS - ITAIGARA;SALVADOR;SSA-MAMAES BAIANAS VACINAS PGTO;19;35; R$11.297,70 ;BALCÃO;SSA - ITAIGARA
2020;Jan;Salvador;VACINAS - ITAIGARA;SALVADOR;SSA-MEDICO VACINAS PGTO;27;40; R$13.848,50 ;BALCÃO;SSA - ITAIGARA
2020;Jan;Salvador;VACINAS - ITAIGARA;SALVADOR;SSA-PARTICULAR VACINAS PGTO;172;235; R$85.461,00 ;BALCÃO;SSA - ITAIGARA
2020;Jan;Salvador;VACINAS - ITAIGARA;SALVADOR;SSA-UNAFISCO VACINAS;1;1; R$77,80 ;BALCÃO;SSA - ITAIGARA
2020;Jan;Salvador;VACINAS - ITAIGARA;SALVADOR;SSA-VACINAS AZIMUTE PROGRAMA SOMOS RAROS;1;2; R$1.090,00 ;BALCÃO;SSA - ITAIGARA
2020;Jan;Salvador;VACINAS - ITAIGARA;SALVADOR;SSA-VACINAS PREFEITURA MUNICIPAL DE MUCUGE;1;3; R$1.093,00 ;BALCÃO;SSA - ITAIGARA
2020;Jan;Salvador;VACINAS - MANOEL DIAS;SALVADOR;SSA-CAMPANHAS VACINAS PGTO;3;3; R$1.600,00 ;BALCÃO;MANOEL DIAS
2020;Jan;Salvador;VACINAS - MANOEL DIAS;SALVADOR;SSA-MAMAES BAIANAS VACINAS PGTO;9;11; R$4.428,00 ;BALCÃO;MANOEL DIAS
2020;Jan;Salvador;VACINAS - MANOEL DIAS;SALVADOR;SSA-MEDICO VACINAS PGTO;2;4; R$1.310,10 ;BALCÃO;MANOEL DIAS
